ID,Title,IsMarkScan,Image,Data,ShortDes,CaseURL,Source,Source URL (if applicable),Related Part (if applicable),Added By,Display,MarkType,EncodingChannel,BodyMovement,Locomotion,MovingSubjects,ProgressReview,LocusofControl,SkippingTool,Anchor,Note
11,"The actual number of Americans jailed or imprisoned, about 2.3 million",1,C11,Statistics related to Americans in jailed.,"In the website, every human icon represents an America in jail (the collected data time is unsure). As the audience scroll down, the accumulative number of people icons has been shown is updated at the right top corner of the website. The website also overlay related statistics, facts and charts in front of the human icon background to give more details.",https://mkorostoff.github.io/incarceration-in-real-numbers/,Encounter Online,,,Leni,Screen,"Pictogram, Area",Length,Scroll,Stationary,Moving visualization only,Counter,User-driven,Jump,Familiar Concepts,
12,A VR 360 video case from an experiment,1,C12,The amount of tea production by countries.,"A 360° VR video where viewers explore a 3D bar chart from a spaceship. Bars, scaled as 1x1m tea cubes, rise in real-world proportions. The ship moves dynamically, including upward, for optimal viewing.",https://immersivedatavideo.github.io/,Related Work,https://yleni.github.io/pdfs/pvis23_vrdatavideo.pdf,The video named as Bar-Chart-Anchor-Condition,Leni,Virtual reality,Volume,Length,Nonmovement,Virtual Locomotion,Moving visualization only,None,Author-driven,None,Familiar Objects,
13,Timeline-of-the-universe-from-the-big-bang-to-the-death-of-our-sun,1,C13,"The time of both past and forthcoming events in our Universe, from the Big Bang to the death of our Sun.","The timeline is layout vertically. As the audience scrolls down, diifferent events show up.",https://www.universetoday.com/123701/timeline-of-the-universe-from-the-big-bang-to-the-death-of-our-sun/,Encounter Online,,,,Screen,Line,Length,Scroll,Stationary,Moving visualization only,None,User-driven,Jump,None,
14,All People on One Page,1,C14,The number of people living on Earth.,"Each human icon in the website represents one human. At the top is the estimated number of people living on Earth, updated in real-time. The website adding new icons at the top from let to right. The audience scrolls down and left/right to look through all icons. When the mouse is hovered in an icon, a tooltip next to the cursor shows the total number of people born until that icon is generated.",https://www.worldometers.info/watch/world-population/,Encounter Online,https://www.worldometers.info/watch/world-population/,-,Aymeric,Screen,"Pictogram, Area",Area,Scroll,Stationary,Moving visualization only,Counter,User-driven,Jump,None,The "Watch as we increase" option is related to Real-Time Data Visualization
15,Death in Syria,1,C15,"The number of people killed in the four-and-a-half-year Syrian civil war (reported at Sept.14, 2015).",Each red dot represents a peron got killed in the war.,https://www.nytimes.com/interactive/2015/09/14/world/middleeast/syria-war-deaths.html,Encounter Online,,The Vis in the Beginning,,Screen,"Point, Area",Area,Scroll,Stationary,Moving visualization only,None,User-driven,Jump,None,
16,7 billion people on 1 page,1,C16,Number of people in the world when it reaches seven billion.,Each human icon in the website represents one human. Different colors represents different continents. The audience can scroll vertically and horizontally to look through all icons.,https://www.7billionworld.com/,Encounter Online,,,,Screen,"Point, Area",Area,Scroll,Stationary,Moving visualization only,Counter,User-driven,Jump,None,
17,Walk approach to and away from a screen,1,C17,General,Showing data in a screen. "Small data visible up closer; large data only visible from far away",,Brainstorm,,,,Screen,Unspecified,Unspecified,Walk,Physical Locomotion,Moving viewers only,None,User-driven,None,None,
18,Take an Elevator,1,C18,General,"The viewer is taking an elevator that has a transparent window. Looking out the window there is a chart painted on the wall. As elevator moves up, differents part of the chart are revealed.",,Brainstorm,,,,Screen,Unspecified,Unspecified,Nonmovement,Physical Locomotion,Moving viewers only,None,Author-driven,None,None,
19,Peephole interaction,1,C19,General,"The viewer is moving a phone around to scan a wall, and different parts of the chart shows up in the phone's screen like a peephole interaction.",,Brainstorm,,,,Screen,Unspecified,Unspecified,"Walk, Wave",Physical Locomotion,Moving viewers only,None,User-driven,None,None,
20,Click mouth for earning money,0,,,,,,,,,,,,,,,,,,,
21,Adapting avatar size to scale of data: move slow for small values and fater for lager ones.,0,,,,,,,,,,,,,,,,,,,
22,VR roller coaster,1,C22,Wealth,"In a VR  experience, viewers take a roller coster. The length of a roller coster represents the common amount of wealth of different social classes. The larger amount of wealth correspond to larger size of a loop or more numbers of loops.",,Brainstorm,,,,Virtual reality,Line,Length,Nonmovement,Virtual Locomotion,Moving visualization only,None,Author-driven,None,None,
23,Spaceship traveling in VR to see planets,1,C23,Planet distances,"In a VR experience, the viewers take a spaceship to go to traveling between planets to understand their distances (scaled).",,Brainstorm,,,,Virtual reality,Line,Length,Hand controller interaction,Virtual Locomotion,Moving visualization only,None,User-driven,None,None,
24,Hiking or cycling with AR to show planets,1,C24,Planet distances,,,Brainstorm,,,,Augmented reality,Line,Length,Walk,Physical Locomotion,Moving viewers only,None,User-driven,None,None,
25,Sand represents population and drop through different diameters,0,,,,,,,,,,,,,,,,,,,
26,Tissue paper box,1,C26,Waste data,,,Brainstorm,,,,Physical medium,Composite physical object,Length,Pull,Stationary,Moving visualization only,Cumulative View,User-driven,None,None,
27,Roll of toilet paper,1,C27,What is the size of different digital media in KB?,"""I start with a sheet representing 60 MB and cut it in 2 several times to give different sizes until I get to an email without attachments.

Then I ask the assembly how many sheets would be needed for 1 hour of video on Netflix in HD. I unroll and give the answer, stopping at 50 sheets (3 GB).""",https://limitesnumeriques.fr/sensibiliser/animation-numerique-responsable/demontage-conference,Encounter Online,,,,Physical medium,Area,Length,"Pull, Walk",Stationary,Moving together,Space Folding,User-driven,None,None,
28,All of the World’s Money and Markets in One Visualization,1,C28,Wealth data,"In the visualization, each square represents $100 billion. It shows the world's money and market distributted in different categories like countries, continents, sectors and so on.",https://www.visualcapitalist.com/all-of-the-worlds-money-and-markets-in-one-visualization-2020/,Encounter Online,,,,Screen,Area,Length,Scroll,Stationary,Moving visualization only,None,User-driven,Jump,None,
29,Earth surrounding by money in VR,1,C29,Wealth data,"In a VR experience, the money of rich people is layout as circles surrounding a planet. The users would take a spaceship to walk through those circles.",,Brainstorm,,,,Virtual reality,"Pictogram, Volume",Length,Nonmovement,Virtual Locomotion,Moving visualization only,None,User-driven,None,None,
30,Biking around the planets in VR,1,C30,Sizes of planets,"In a VR experience, the viewers ride a bike o go a full round outside a planet the size of which is scaled.",,Brainstorm,,,,Virtual reality,Volume,Length,Cycle,Virtual Locomotion,Moving visualization only,None,User-driven,None,None,
31,If the moon were one pixel,1,C31,Planet distances and sizes,"Moon is scaled as a pixel in the screen. Based on this scale, the visualization presents planets in the solar system from left to right. The users can horizontally scroll the website to examine the distances between different planets and their sizes. ",https://joshworth.com/dev/pixelspace/pixelspace_solarsystem.html,Encounter Online,,,Leni,Screen,Line,Length,Scroll,Stationary,Moving visualization only,Counter,User-driven,None,None,
32,O cálculo de uma tragédia (The calculation of a tragedy),1,C32,Covid-19 death number in Brazil,"Each dot represents a person who died from COVID-19 in Brazil. The dots are arranged in chronological order, grouped by the day each death occurred. From top to bottom, the number of dots represents the number of deaths as time progresses. The visualization also overlays the figures of cars and trains to illustrate the scale of the tragedy, showing how many vehicles would be needed to accommodate the number of people who died during certain periods.",https://www.nexojornal.com.br/especial/2020/08/08/100-mil-mortes-no-Brasil-o-c%C3%A1lculo-de-uma-trag%C3%A9dia,Related Work,,,,Screen,"Point, Area",Area,Scroll,Stationary,Moving visualization only,None,User-driven,Jump,"Familiar Concepts, Familiar Objects",
33,What if I told you: you eat 3496 litres of water,1,C33,"Litres of water for producing food (e.g.,  to produce 1 kilogram of boneless beef we need 15400 litres of water)",The icons of 15400 bottles that represent 15400 liters of water are stacked up to represent a large wall of bottles. ,https://thewaterweeat.com/,Related Work,,,,Screen,"Pictogram, Area",Length,Scroll,Stationary,Moving visualization only,Milestone Marks,User-driven,Jump,"Familiar Objects, Familiar Concepts",
34,Wait for the oil drop,0,,,,https://www.youtube.com/shorts/xBdBM53gvcc,,,,,,,,,,,,,,,
35,"500,000 lives lost",1,C35,COVID-19 death unmber in USA,"Each dot represents a person who died from COVID-19 in USA. The dots are arranged in chronological order, grouped by the day each death occurred. From top to bottom, the number of dots represents the number of deaths as time progresses. On the top left, there is a mini-view of the visualization and the current position where the viewers are.",https://www.reuters.com/graphics/HEALTH-CORONAVIRUS/USA-CASUALTIES-CHRONOLOGY/xklpyomnrpg/,Related Work,,,,Screen,"Point, Area",Area,Scroll,Stationary,Moving visualization only,"Counter, Progress Bar",User-driven,"Skip, Jump","Familiar Objects, Familiar Concepts",
36,Sea level rise by the numbers,1,C36,The 75.6 trillion gallons of meltwater from Greenland’s ice sheet between 2002 and 2017,"The visualizations use a pictogram of Olympic-size swimming pool to represent 660,000 gallons of water, 1,000 pools, or 1 million pools. Only in the last case, it is possible to show how much swiming pools should be presented to represent the 76.6 trillion gallons of metlwater.",https://www.reuters.com/graphics/CLIMATECHANGE-GREENLAND-SEALEVELS/010080F60WR/,Related Work,,,,Screen,"Pictogram, Area",Area,Scroll,Stationary,Moving visualization only,None,User-driven,None,None,
