ID,Title,Collection Stage,Brief_Description,Short_Des,Image,Data,Link,Display,Spatial_Channel,Visceral_Channel,Source,Viewer_Locomotion_Mode,Mark_Moving_Mode,Body_Movement,Progress_Review,Shortcut,Anchor_Representation,Anchor_Space,Narrative,General_Startegies,Note,Related Part (if applicable),"Start Time (e.g., 11:15)","End Time (E.g., 11:30)"
C20,O Cálculo De Uma Tragédia (The Calculation Of A Tragedy),Expansion,COVID-19 deaths in Brazil as dots stacked by day over time,"Each dot represents a person who died from COVID-19 in Brazil. The dots are arranged in chronological order, grouped by the day each death occurred. From top to bottom, the number of dots represents the number of deaths as time progresses. The visualization also overlays the figures of cars and trains to illustrate the scale of the tragedy, showing how many vehicles would be needed to accommodate the number of people who died during certain periods.",C20,Covid-19 death number in Brazil,https://www-nexojornal-com-br.translate.goog/especial/2020/08/08/100-mil-mortes-no-Brasil-o-c%C3%A1lculo-de-uma-trag%C3%A9dia?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp&_x_tr_hist=true,2D screens,Area,"Effort, Time",Related Work,Stationary,Moving,Finger and hand ,Milestones,Speed Up,"Visual, Verbal",Data,Informative,Interactive panning,,,11:16,11:20
C21,What If I Told You: You Eat 3496 Litres Of Water,Expansion,A long pictogram of 15400 bottles of water that people consume everyday,The icons of 15400 bottles that represent 15400 liters of water are stacked up to represent a large wall of bottles. ,C21,"Litres of water for producing food (e.g.,  to produce 1 kilogram of boneless beef we need 15400 litres of water)",https://thewaterweeat.com/,2D screens,Area,None,Related Work,Stationary,Moving,Finger and hand ,Milestones,Speed Up,Visual,"Data, Physical",None,Interactive panning,"I would hope there is a final zoom out to see  the difference between the wall and a human. - When both vis and anchor are concrete, it creates anchor in both data and physical space (but it undermines the massviness of data by using small icons of bottles intead of real-world scale)",,13:43,13:45
C22,"500,000 Lives Lost",Expansion,"A large scrollable bee-swarm plot, showing COVID-19 deaths over time","Each dot represents a person who died from COVID-19 in USA. The dots are arranged in chronological order, grouped by the day each death occurred. From top to bottom, the number of dots represents the number of deaths as time progresses. On the top left, there is a mini-view of the visualization and the current position where the viewers are.",C22,COVID-19 death unmber in USA,https://www.reuters.com/graphics/HEALTH-CORONAVIRUS/USA-CASUALTIES-CHRONOLOGY/xklpyomnrpg/,2D screens,Area,"Effort, Time",Related Work,Stationary,Moving,Finger and hand ,"Mini View, Counter, Milestones","Speed Up, Jump",Verbal,Data,Informative,Interactive panning,,,10:37,10:42
C23,Sea Level Rise By The Numbers,Expansion,"A long pictogram of Olympic-size swimming pools,  representing the 76.6 trillion gallons of metlwater due to climate change","The visualizations use a pictogram of Olympic-size swimming pool to represent 660,000 gallons of water, 1,000 pools, or 1 million pools. Only in the last case, it is possible to show how much swiming pools should be presented to represent the 76.6 trillion gallons of metlwater. ",C23,The 75.6 trillion gallons of meltwater from Greenland’s ice sheet between 2002 and 2017,https://www.reuters.com/graphics/CLIMATECHANGE-GREENLAND-SEALEVELS/010080F60WR/,2D screens,Area,Time,Related Work,Stationary,Moving,Finger and hand ,None,None,None,None,Informative,Interactive panning,,,10:13,10:16
C24,Number Of Deaths In The WW2 Per Country,Expansion,A 3D animation where the camera moves through a series of 3D bars. ,,C24,Deaths number in WW2,https://www.youtube.com/watch?v=7cgRwDkP6vk,2D screens,Volume,None,Encounter Online,Stationary,Moving,None,None,"Speed Up, Jump",Visual,Physical,None,Animated panning,Markscanning only happens in few single bars,,10:45,10:47
C25,Us Debt Of $20 Trillion Visualized In Stacks Of Physical Cash,Expansion,A 3D animation where the camera moves through stacks of money representing US debt,,C25,US debt,https://www.youtube.com/watch?v=XqUwr-Nkq9g,2D screens,"Length, Volume",Time,Encounter Online,Stationary,Moving,None,None,Speed Up,Visual,"Physical, Data",None,Animated panning,,,15:45,15:47
C26,Ocean Depth Comparison,Expansion,Video explaining how deep the ocean is by introducing several famous depth locations,,C26,,https://www.youtube.com/watch?v=Q5C7sqVe2Vg,2D screens,Length,Time,Related Work,Stationary,Moving,None,None,"Speed Up, Jump",Visual,"Physical, Data",Informative,Animated panning,- The final overview is a good practice ,,13:31,13:36
C27,Turkey'S Toxic Dust,Expansion,Zoom-out animation of an area representing damaged buildings in Turkey after 2023 huge earthquake.,,C27,Weight of dust caused by the earthquake in Turkey,https://www.reuters.com/graphics/TURKEY-QUAKE/TOXINS/znvnbmyrzvl/,2D screens,Area,None,Related Work,Stationary,Moving,Finger and hand ,None,None,Visual,Physical,Informative,Interactive panning,,,11:00,11:01
C28,Space Elevator,Expansion,Scrolling website presenting the layers of the atmopshere.,,C28,,https://neal.fun/space-elevator/,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,"Milestones, Counter","Speed Up, Jump",None,None,"Informative, Filler",Interactive panning,"For those combined both a mark (length, distance) and concrete visualizations, I tend to be distracted from marks easily.",,13:07,13:15
C29,The Data Physicalization Of Wealth Shown To Scale,Expansion,Physical cubes present the wealth of normal and richest Americans,,C29,Wealth data,https://www.youtube.com/watch?v=SktIkgYcFH0,Physical media,"Length, Volume","Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,None,None,None,None,Informative,Walkable marks,,,,
C30,Climbingchart,Expansion,A bar chart displayed vertically across several floors of a building through AR,,C30,greenhouse gas emissions,https://hal.science/hal-05224602/document,Augmented reality (AR) displays,Length,"Effort, Time",Related Work,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks,,,,
C31,Walkingchart,Expansion,A bar chart displayed horizontally over several meters of a parking lot through AR,,C31,,https://hal.science/hal-05224602/document,Augmented reality (AR) displays,Length,"Effort, Time",Related Work,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks,,,,
C32,Augmented Reality Waste Data Representations,Expansion,A augmented-reality pile of trash bags.,,C32,Waste data,https://www.youtube.com/watch?v=c9EQ726EoUg,Augmented reality (AR) displays,Volume,Time,Related Work,Stationary,Moving,None,None,None,None,None,None,Mark building up,,The Animated panning in the beginning where trash bags fall down one by one at constant speed,,
C33,Global Plastic Waste 1950-2019 - Data Visualization,Expansion,Plastic bottles accumulation between 1950 and 2019.,,C33,Waste data,https://www.youtube.com/watch?app=desktop&v=_IcJlX-lOzM,2D screens,Volume,Time,Encounter Online,Stationary,Moving,None,Counter,Speed Up,None,None,None,Mark building up,,,,
C34,The Search For Answers,Expansion,Scrolling visualization of plane wreckage at the bottomo of oceans ,,C34,,https://www.reuters.com/graphics/INDONESIA-CRASH/SEARCH/xegvbeywzpq/,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Milestones,Speed Up,None,None,Informative,Interactive panning,,,,
C35,Sizing Up Australia’S Bushfires,Expansion,Scrolling through squares representing burnt area after australian wildfire,,C35,,https://www.reuters.com/graphics/AUSTRALIA-BUSHFIRES-SCALE/0100B4VK2PN/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,Visual,Data,Informative,Interactive panning,,,,
C36,Skyfall - Tracking The Asteroids That Menace Earth,Expansion,Scrolling through the Earth-Moon distance to understand how far past and future asteroids pass from the Earth,,C36,,https://www.reuters.com/graphics/SPACE-ASTEROIDS/zdpxdnrzrpx/,2D screens,Length,None,Encounter Online,Stationary,Moving,Finger and hand ,Milestones,Speed Up,Verbal,Data,Informative,Interactive panning,,,,
C37,Proxemics Interaction,Initialization,2D-screen visualization showing bar charts based on the distance between the screen and the viewer,"Showing data in a screen. ""Small data visible up closer; large data only visible from far away""",,General,,2D screens,Length,"Effort, Time",Brainstorm,Physical locomotion,Moving,Lower limb ,None,None,None,None,None,Others,Brainstorming cases lack details to know data binding types,,,
C38,Take An Elevator,Initialization,Viewers taking an elevator with a transparent window through which they can see a bar chart painted on the wall,"The viewer is taking an elevator that has a transparent window. Looking out the window there is a chart painted on the wall. As elevator moves up, differents part of the chart are revealed.",C38,General,,Physical media,Length,Time,Brainstorm,Physical locomotion,Still,None,None,None,None,None,None,Vehicular motion,,,,
C39,Peephole Interaction,Initialization,Viewers using a phone as a peephole view through which the viewer can inspect the mark on a wall,"The viewer is moving a phone around to scan a wall, and different parts of the chart shows up in the phone's screen like a peephole interaction.",C39,General,,2D screens,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Full-body ,None,None,None,None,None,Others,"- what should we do when a brainstorming case can for different data binding and scanning types? - The dimentionality of motion can be 2D or 3D, depending on the encoding",,,
C40,Data Driven VR Roller Coaster,Initialization,"VR roller coaster trails consisting of concatenated stacks of 100-dollar bills, representing the wealth of the richest person in the world.","In a VR  experience, viewers take a roller coster. The length of a roller coster represents the common amount of wealth of different social classes. The larger amount of wealth correspond to larger size of a loop or more numbers of loops.",C40,Wealth,,Virtual reality (VR) displays,Length,Time,Brainstorm,Virtual locomotion,Still,None,None,None,None,None,None,Vehicular motion,,,,
C41,VR Spaceship Traveling Through The Solar System,Initialization,VR trip accross the solar system to visualize distances between planets,"In a VR experience, the viewers take a spaceship to go to traveling between planets to understand their distances (scaled).",,Planet distances,,Virtual reality (VR) displays,Length,Time,Brainstorm,Virtual locomotion,Still,Finger and hand ,None,None,None,None,None,Vehicular motion,,,,
C42,Comparing Wealth In Stacks Of 100-Dollar Bills In AR,Initialization,AR stacks of 100-dollar bills onto a street to compare the wealth of normal and the richest people.,"During hiking or cycling in a path, the viewers can use AR to view planets whose sizes and distances are scaled.",C42,Planet distances,,Augmented reality (AR) displays,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks,"- I am hesitated about shortcut, again",,,
C43,Tissue Paper Box,Initialization,Physical visualization of a tissues accumulation to visualize waste,The viewer takes tissue out of a tissue paper box. Each tissue represent certain quantity of waste. The tissue pile on the ground is an accumulative amount of waste.,,Waste data,,Physical media,Volume,"Effort, Time",Brainstorm,Stationary,Moving,Upper limb ,Compressed View,None,None,None,None,Interactive panning,,,,
C44,VR Spaceship Circling The Earth Surrounding By Money,Initialization,"Viewers taking a virtual spaceship journey around
the Earth that is surrounded by stacks of 100-dollar bills representing the wealth of the richest person","In a VR experience, the money of rich people is layout as circles surrounding a planet. The users would take a spaceship to travel through those circles. ",C44,Wealth data,,Virtual reality (VR) displays,Length,Time,Brainstorm,Virtual locomotion,Still,Finger and hand ,None,None,None,None,None,Vehicular motion,,,,
C45,Biking ARound The Planets In VR ,Initialization,Viewers riding a stationary bike to circle around down-scaled planets in virtual reality to compare their sizes,"In a VR experience, the viewers ride a bike o go a full round outside a planet the size of which is scaled.",,Sizes of planets,,Virtual reality (VR) displays,Length,"Effort, Time",Brainstorm,Virtual locomotion,Still,Lower limb ,None,None,None,None,None,Vehicular motion,,,,
C46,Queuing With All People In The World In VR,Initialization,"VR visualization of the world population all in a queue, moving forward each time an inhabitant quit the queue","Imaging in VR all people in the world form the same queue, and the viewer is at the end. Every time when one person in begining left, the viewer moves forward in the queue.",,World population,,Virtual reality (VR) displays,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Others,,,,
C47,Go Up Stairs And See The History,Initialization,"Vertical timeline representing humankind history accross several floors, requiring to climb stairs",,,Chronology of the universe,,Physical media,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks,,,,
C48,Escape From A Room Where Money Fall From The Sky,Initialization,Cumulative view of money filling a VR room,"In VR, the viewers need to escape from a room where piles of money fall from the sky. ",,,,Virtual reality (VR) displays,Area,"Effort, Time",Brainstorm,Virtual locomotion,Moving,Full-body ,None,None,None,None,None,Others,,,,
C49,Data As Virtual Flow,Initialization,Flow getting through a VR room,"The viewer pushes a button, and there will be a virtual flow of water or sand representing data cascading from the top and filling the space where the viewers are.",,,,Augmented reality (AR) displays,Volume,"Effort, Time",Brainstorm,Stationary,Moving,None,None,None,None,None,None,Mark building up,,,,
C50,Convey Belt,Expansion,Marks painted on a convey belt or physical marks carried by a convey belt,,,Unspecified,,Physical media,Length,Time,Brainstorm,Stationary,Moving,None,None,None,None,None,None,Vehicular motion,"Depend on how long it takes, there maybe mental efforts (bear the board)",,,
C51,Marks On Streetcars,Expansion,"Marks painted on streetcars (e.g., trams) move in and out the field of viewers",,C51,Carbon Emission,,Physical media,Length,"Effort, Time",Brainstorm,Stationary,Moving,None,None,None,Visual,Physical,None,Vehicular motion,"- Can the train itself as an anchor? - For locus of control and locomotion, if people can walk to see the train body from end to end, it becomes user-driven and physical moving. ",,,
C52,Dragon Dance,Expansion,Bar charts painted on traditionnal Chinese dragon-dancers,,,Wealth data,,Physical media,Length,Time,Brainstorm,Stationary,Moving,None,None,None,None,None,None,Others,"Different from train, dragon dance case doesn't stop at a place. Normally, people do not rely on their locomotion to scan the mark.",,,
C53,Visualization Shown On The Screen Of A Treadmill,Expansion,Horizontal bar charts displayed on a 2D-screen moving forward by running on a treadmill,(NOTES) or stationary bike,,,,2D screens,Length,"Effort, Time",Brainstorm,Stationary,Moving,Full-body ,None,None,None,None,None,Interactive panning,,,,
C54,Moving Up An Elevator Through Fixed Pulleys In VR,Expansion,Vertical bar charts displayed outside a VR elevator going up by pulling up fixed pulleys,(NOTES) can give a sense of vertical distance. Can also be used for diving (pulling oneself from a rope),,,,Virtual reality (VR) displays,Length,"Effort, Time",Brainstorm,Virtual locomotion,Still,Upper limb ,None,None,None,None,None,"Vehicular motion, Interactive panning",,,,
C55,Diving In VR,Expansion,An VR experience where viewers mimicing diving with a descend line to see how deep is sea,,C55,,,Virtual reality (VR) displays,Length,"Effort, Time",Brainstorm,Virtual locomotion,Still,Upper limb ,None,None,None,None,None,Interactive panning,,,,
